center_x,center_y,ppm_w,ppm_h,ppm_mean
716.0208740234375,480.3244934082031,558.3254232562956,501.4661292300198,529.8957762431577
713.9016723632812,476.08203125,565.9883792583759,505.4194899338942,535.703934596135
753.0370483398438,446.14178466796875,544.9979445893886,487.83449399269233,516.4162192910404
858.7658081054688,459.1655578613281,523.185735104689,480.37083924706303,501.778287175876
971.2894287109375,470.5637512207031,503.3399935707527,477.0466182886628,490.1933059297078
1070.4776611328125,480.7193298339844,487.4187033793648,470.06714612699403,478.7429247531794
1144.4970703125,489.46917724609375,476.87880157470704,464.3188995361328,470.5988505554199
1208.6148681640625,498.3912048339844,462.9902971887881,460.8583164800164,461.9243068344023
1295.9154052734375,506.3480224609375,448.16168287526006,455.33448716868526,451.74808502197266
1358.879150390625,515.6878662109375,435.49774369885847,451.07070276814125,443.28422323349986
1427.4979248046875,513.54443359375,424.69798880563656,446.9851722180004,435.8415805118185
1482.4989013671875,519.5714721679688,418.36002349853516,443.5948944091797,430.9774589538574
1533.517578125,520.9380493164062,411.58045768737793,442.20046043395996,426.89045906066895
1611.9794921875,521.1800537109375,399.6717999776204,436.01121012369794,417.8415050506592
1673.5,522.5,395.0,430.0,412.5
1728.5,522.0,385.0,420.0,402.5
1790.0,519.0,380.0,420.0,400.0
1862.0,519.0,370.98744627436565,419.99999180249193,395.4937190384288
1924.5,520.0,364.1088059313016,420.8124214306212,392.4606136809614
1974.88623046875,520.0174560546875,358.0080527228278,418.55931926418,388.2836859935039
2021.5,522.5,351.66664123535156,409.9999745686849,380.8333079020182
2063.0,519.5,350.0,410.0,380.0
2145.46728515625,532.9303588867188,361.5606435139974,417.39039504737184,389.4755192806846
2119.75048828125,661.1143188476562,372.48226525211044,419.2125494356938,395.8474073439021
2053.958251953125,665.31884765625,338.92825872591226,421.51140231897335,380.2198305224428
2011.5943603515625,667.1456298828125,341.4096881026775,418.06509344486625,379.73739077377184
1952.0,668.0,350.0,420.0,385.0
1908.5,665.9999389648438,354.9999745686849,419.9999745686849,387.4999745686849
1864.04443359375,662.5020141601562,368.89508565266925,427.0598856608073,397.9774856567383
1818.8553466796875,667.025390625,375.84377896055884,430.97176298803214,403.4077709742955
1768.416015625,661.4088745117188,385.03100918647937,435.2687528796662,410.1498810330728
1703.9876708984375,663.7612915039062,390.27210235595703,436.6481018066406,413.4601020812988
1703.986572265625,663.7850341796875,390.01984234513907,436.73841575096395,413.3791290480515
1616.7591552734375,660.5599975585938,401.37653183151076,440.69857335352634,421.0375525925185
1544.1865234375,659.3704223632812,405.9093297569497,444.4251551211459,425.1672424390478
1478.9534912109375,651.7913818359375,415.68724314371747,447.1802393595378,431.4337412516276
1402.507568359375,645.850341796875,425.20398406982423,451.95747833251954,438.5807312011719
1313.013427734375,647.2051391601562,438.96895559210526,457.98253912674755,448.4757473594264
1239.4512939453125,645.8829956054688,451.925191106023,461.56560536977406,456.74539823789854
1150.92724609375,643.7891845703125,468.41780853271484,467.93646748860675,468.17713801066077
1082.831298828125,642.3614501953125,476.72012255029773,470.8360075719148,473.7780650611063
993.2243041992188,637.5181274414062,494.8256009034436,479.71439785427515,487.2699993788594
899.0757446289062,634.5270385742188,513.8729858398438,486.69654210408527,500.2847639719645
834.0921020507812,631.2120971679688,526.4042608370808,488.619875226702,507.5120680318914
769.3035888671875,648.2639770507812,535.2114474083767,489.101945861312,512.1566966348444
697.5814208984375,646.2921142578125,563.8983620537651,493.5971811082628,528.7477715810139
574.4979248046875,641.9091796875,604.0762358826477,504.874686699409,554.4754612910283
537.1903686523438,808.7821044921875,627.2284144433665,512.0899803083428,569.6591973758547
627.0484008789062,816.8104858398438,577.4243235868566,500.20203220143037,538.8131778941436
728.4596557617188,822.2689208984375,553.0964108332535,494.47484537136336,523.7856281023085
791.2369384765625,823.4595336914062,537.7755228678385,492.4118296305339,515.0936762491862
862.437744140625,824.9156494140625,523.1152805685997,487.1055409312248,505.11041074991226
942.3699951171875,829.9099731445312,504.3349289312595,486.31922931205935,495.32707912165944
989.9280395507812,833.2904663085938,496.4082302517361,483.60000966389975,490.0041199578179
1037.5521240234375,832.5054931640625,486.45051411220004,472.70974704197477,479.5801305770874
1084.767333984375,833.8267211914062,476.62940979003906,474.7509076518397,475.6901587209394
1131.5863037109375,835.5223388671875,468.0252410625589,470.8385868730216,469.43191396779025
1203.103759765625,838.5670776367188,455.6087567413134,468.5653898088018,462.0870732750576
1291.5,834.5,435.7200206583004,449.999987361963,442.8600040101317
1382.5,833.0,425.0,440.0,432.5
1481.5,826.5,407.5,431.6666666666667,419.58333333333337
1562.5,830.5,404.557761732852,430.0,417.278880866426
1645.0,828.5,400.0,430.0,415.0
1737.0,829.0,390.0,420.0,405.0
1812.0,826.0,380.0,420.0,400.0
1881.380615234375,825.4453125,372.2239708177971,429.4283812386649,400.826176028231
1948.5,829.0,364.46834564208984,420.5848371717665,392.52659140692816
1996.4970703125,835.8721923828125,355.54055998722714,399.7968328992526,377.66869644323987
2044.48828125,806.171630859375,356.5819961960251,424.15023597511083,390.36611608556797
2107.49267578125,802.214111328125,367.3829255280671,418.90562693277997,393.14427623042354
2125.0,976.5,360.5075705155847,409.9256282646352,385.21659939010993
2047.5,952.5,345.8301104856341,426.794311437714,386.31221096167405
1980.0,950.5,360.0,410.0,385.0
1917.0,952.0,370.0,420.0,395.0
1840.5,981.0,375.0,420.0,397.5
1781.5,982.0,385.0,420.0,402.5
1697.5,980.0,395.0,420.0,407.5
1606.638671875,978.2835083007812,402.23236989631926,437.87764267955754,420.0550062879384
1519.0,978.5,410.0,430.0,420.0
1435.466796875,976.4105224609375,423.70475042433964,442.9535244532994,433.32913743881954
1335.5,976.5,431.6666666666667,450.0,440.83333333333337
1259.5,975.5,445.0,450.0,447.5
1180.0,979.0,460.0,460.0,460.0
1089.5,982.0,475.0,460.0,467.5
993.0,983.5,489.9999237060547,469.9999237060547,479.9999237060547
901.2044677734375,986.0726318359375,509.2158508300781,478.1433868408203,493.6796188354492
818.0,986.0,520.0,480.0,500.0
729.5,986.5,535.0,490.0,512.5
662.8682250976562,986.0180053710938,550.0087193080357,493.9402141268291,521.9744667174324
580.5325317382812,974.0570068359375,601.6214088467888,502.8888238480676,552.2551163474282
494.5,971.5,615.0,490.0,552.5
